1,name,tel,address,email,website,intro
2,Palace Saigon Hotel,08 38292860 - 38279342,"56-66 Nguyễn Huệ, Quận 1, TP Hồ Chí Minh",reservation@palacesaigon.com; sales@palacesaigon.com,hotel84.com/tp-ho-chi-minh/khach-san-palace-saigon.html,"Khách sạn Palace Saigon tọa lạc  tại đại lộ Nguyễn Huệ, một khu vực  trung tâm hành chính-thương mại-du lịch-giải trí quan trọng nhất của thành phố Hồ Chí Minh. Với vị thế thuận lợi này, khách lưu trú sẽ có những cơ hội tuyệt vời nhất để trải nghiệm những nét đặc trưng và thú vị  trong nhịp sống sinh họat của người dân Sài Gòn. Những địa danh hấp dẫn khách du lịch ưa thích tham quan đều nằm trong phạm vi lân cận khách sạn bao gồm Nhà hát Thành Phố, Ủy ban nhân dân Thành Phố, Nhà thờ Đức Bà, Dinh thống nhất, chợ Bến Thành và chỉ cách sân bay quốc tế Tân Sơn Nhất khỏang 8 km đường bộ. "
3,Grand Sài Gòn Hotel,08 38230163,"08 Đường Đồng Khởi, Quận 1, Hồ Chí Minh",info@grandhotel.vn,hotel84.com/tp-ho-chi-minh/khach-san-grand-sai-gon.html,"Khách sạn được xây dựng năm 1930 theo kiến trúc cổ của Pháp và được nâng cấp vào năm 1997. Khách sạn GRAND Sài Gòn là nơi thuận lợi nằm ngay trung tâm thành phố. Tiện lợi cho việc lựa chọn địa điểm giao dịch, tham quan hay lưu trú. Quí khách cũng có thể tản bộ ra sông Sài Gòn để tham quan ngắm cảnh. "
4,Mekong Hotel,  0862560059;  0862781439,"53/1 KP5, Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp HCM",vukhacchuong@saigonact.edu.vn,http://mekongsaigonhotel.com,"Khách sạn Mekong tọa lạc tại trung tâm Quận 12, Thành phố Hồ Chí Minh, ngay khu dân cư đông đúc, gần chợ, gần các khu công nghiệp, ngã 3 khu thương mại giao dịch hàng hóa trọng điểm, là nơi mua sắm, giao dịch lý tưởng cho du khách. Mekong Hotel có các dịch vụ đạt tiêu chuẩn đáp ứng nhu cầu của du khách và doanh nhân trong nước và quốc tế về với quận 12. Khách sạn còn có hội trường và phòng họp với bài trí đa dạng và đặc biệt là Nhà hàng tiệc cưới với sức chứa từ vài trăm khách được trang bị đầy đủ cho nhu cầu hội họp của các doanh nghiệp tổ chức sự kiện và tổ chức tiệc cưới tại quận 12 thành phố HCM."
5,Vissai Saigon Hotel,08 39998888,"144 Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh",rsvn@vissaisaigonhotel.vn; banquetsm@vissaisaigonhotel.vn; sales@vissaisaigonhotel.vn,hotel84.com/tp-ho-chi-minh/khach-san-starcity-saigon.html,"Vissai Saigon là khách sạn tiêu chuẩn 4 sao, mang đến cho khách hàng tiện nghi sang trọng cùng với những dịch vụ cao cấp. Vị trí tọa lạc lý tưởng, Khách sạn Vissai Saigon chỉ cách sân bay quốc tế Tân Sơn Nhất 5 phút đi xe, cách tòa nhà thương mại Centre Point 2 phút đi bộ Bên cạnh đó, việc di chuyển đến Trung tâm TriểnLãm và Hội Nghị Tân Bình thuận tiện với 15 phút đi bộ. Tất cả các phòng của khách sạn được thiết kế trang nhã, đường truyền tốc độ cao, các trang thiết bị và dịch vụ hoàn hảo đáp ứng nhu cầu khắc khe nhất của du khách."
6,Caravelle Hotel,08 38234999,"19-23 Công Trường Lam Sơn, Quận 1, Hồ Chí Minh",hotel@caravellehotel.com,hotel84.com/tp-ho-chi-minh/khach-san-caravelle.html,"Khách sạn Caravelle có 335 phòng được trang bị đầy đủ tiện nghi, phòng thượng hạng, sảnh dành riêng cho khách VIP và các tầng riêng dành cho khách VIP, tầng dành cho khách không hút  thuốc, phòng dành riêng cho người khuyết tật. Bên cạnh đó, khách sạn còn cung cấp các dịch vụ tiện ích khác như: điện thoại quốc tế trực tiếp, ti-vi LCD truyền hình vệ tinh, đầu đĩa CD, DVD, máy Fax, mini bar, vật dụng để pha trà và cafe, máy pha cafe & espresso và két sắt riêng tại phòng. Internet Wi-Fi miễn phí trong khách & toàn khách sạn. "
7,Nikko Saigon Hotel,08 39257777,"235 Nguyễn Văn Cừ, Quận 1, Hồ Chí Minh",reservation@hotelnikkosaigon.com.vn,hotel84.com/tp-ho-chi-minh/khach-san-nikko-saigon.html,"Tại khách sạn Nikko Saigon, chúng tôi đang hướng tới là khách sạn đáng tin cậy nhất cho khách hàng, chủ sở hữu, người lao động và cộng đồng bằng cách cung cấp các dịch vụ phù hợp và cá nhân. Đây là những gì mang lại ý nghĩa và giá trị kinh doanh của chúng tôi và cuộc sống làm việc của chúng ta."
8,Hoàng Anh Star Hotel,08 37181379; 0938309498,"31/3B Song Hành, Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",hoanganhstarhotel@gmail.com,hotel84.com/tp-ho-chi-minh/khach-san-hoang-anh-star.html,"Được thiết kế sang trọng, hài hòa giữa truyền thống và hiện đại, khách sạn có 35 phòng ngủ gồm các loại như phòng đơn, phòng đôi, phòng Vip với mức giá phù hợp. Hơn nữa khách sạn còn cung cấp đầy đủ dịch vụ: wifi miễn phí, tủ lạnh, nước nóng, truyền hình cáp, giặt ủi, thức ăn, nước uống và đội ngũ nhân viên ân cần, niềm nở. Chúng tôi tin chắc rằng khách sạn Hoàng Anh Star sẽ là điểm dừng chân lý tưởng cho chuyến công tác hay du lịch của quý khách."
9,An Tâm 3  Hotel,08 38371565; 0962140279,"283/7 Phạm Ngũ Lão, p Phạm Ngũ Lão, quận 1, Tp Hồ Chí Minh",antam3hcm@gmail.com,hotel84.com/tp-ho-chi-minh/khach-san-an-tam.html,"Cách Chợ Bến Thành và Bến Xe buýt 5 phút đi bộ, An Tam 3 Hotel cung cấp các phòng nghỉ với truy cập Wi-Fi miễn phí. Khách sạn 4 tầng này nằm ở trung tâm khu tây ba lô của Thành phố Hồ Chí Minh. Các phòng máy lạnh tại đây được trang bị truyền hình cáp màn hình phẳng và tủ lạnh. Trong phòng tắm riêng có vòi sen và đồ vệ sinh cá nhân miễn phí. Nước đóng chai được cung cấp miễn phí hàng ngày."
10,Duy Quang 2 Hotel,08 38315026,"356 đường số 10 (Cây Trâm), Phường 9, Quận Gò Vấp, TPHCM",baoduy251287@gmail.com,hotel84.com/tp-ho-chi-minh/khach-san-duy-quang-2.html,"Khách Sạn Duy Quang 2 có tổng cộng 7 tầng, 21 phòng, bao gồm 1 phòng đôi và 20 phòng đơn,  mỗi phòng đều có tivi truyền hình cáp K+, tủ lạnh, máy điều hòa, quạt, máy nước nóng, vòi tắm hoa sen, bồn rửa mặt, giường(nệm kim đan) kích thước là 1,6m x2 m. Ngoài ra khách sạn còn có thang máy, wifi không dây miễn phí. Có chỗ để xe ô tô,..."
11,Bel Ami Hotel,08 38641128 - 38635210,"489 (Số củ 170) Lý Thường Kiệt, P.8, Tân Bình, Hồ Chí Minh",sales2@thanhbinhhotelsgroup.com; sales3@thanhbinhhotelsgroup.com,hotel84.com/tp-ho-chi-minh/khach-san-bel-ami.html,"Được xây dựng theo tiêu chuẩn 03 sao quốc tế, khách sạn BelAmi được thiết kế hài hòa và mang phong cách hiện đại; đội ngũ nhân viên nhiệt tình, giàu kinh nghiệm với cung cách phục vụ chuyên nghiệp, … Khách sạn Bel Ami chúng tôi không chỉ là điểm dừng chân lý tưởng giúp cho Quý Khách có những giây phút thư giãn thoải mái nhất trong các chuyến công tác hay chuyến du lịch mà còn là nơi gặp gỡ, giao lưu của những nhà doanh nhân với các sự kiện diễn ra hàng năm tại Thành phố Hồ Chí Minh"
